model,split,r2,mae,rmse,n,alpha,backend
OLS_torch,train,0.704988063176042,5.881094926373728,8.165178412983046,22566,,torch_cuda
OLS_torch,val,0.6879857599283287,5.897316553432645,8.397483199969326,4836,,torch_cuda
OLS_torch,test,0.6737908942138102,5.978159848054651,8.587506950261357,4836,,torch_cuda
Ridge_torch,train,0.6710113321865128,6.280300699102889,8.622562552622702,22566,0.0007149428986597577,torch_cuda
Ridge_torch,val,0.6573787016194654,6.306492457257438,8.799725284455112,4836,0.0007149428986597577,torch_cuda
Ridge_torch,test,0.6442361458745284,6.38626373460182,8.968090296378488,4836,0.0007149428986597577,torch_cuda
