var1,var2,r,abs_r,banda
phase_unwrap_m_slope_var,phase_unwrap_k_slope_mean,0.9994169382441221,0.9994169382441221,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,pdp_mean_delay,0.9994161341899823,0.9994161341899823,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_k_rms_abs,-0.9993924653439854,0.9993924653439854,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_unwrap_k_slope_rms,-0.9993924653439852,0.9993924653439852,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_unwrap_k_slope_var,0.9993802436798924,0.9993802436798924,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_m_var_abs,0.9993743388264975,0.9993743388264975,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,phase_jump_k_rms_abs,0.9993671141620412,0.9993671141620412,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,phase_jump_m_mean_abs,0.9993671141620405,0.9993671141620405,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_k_var_abs,0.999345710994384,0.999345710994384,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,svd_energy_ratio_mode1,-0.9993375590946282,0.9993375590946282,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_unwrap_k_mean,0.9993077843761817,0.9993077843761817,0.99 <= |r| < 1.00
phase_unwrap_k_mean,pdp_mean_delay,0.9992914267769488,0.9992914267769488,0.99 <= |r| < 1.00
phase_unwrap_m_slope_var,phase_jump_k_var_abs,0.9992908176316184,0.9992908176316184,0.99 <= |r| < 1.00
phase_jump_m_var_abs,phase_jump_k_mean_abs,0.9992136036092626,0.9992136036092626,0.99 <= |r| < 1.00
phase_unwrap_k_mean,svd_energy_ratio_mode1,-0.9992130082937314,0.9992130082937314,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_jump_k_mean_abs,0.9991702453142217,0.9991702453142217,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_m_slope_var,0.9991220449863752,0.9991220449863752,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_k_slope_var,0.9991061369748961,0.9991061369748961,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_jump_m_mean_abs,0.999088584861737,0.999088584861737,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,phase_jump_m_rms_abs,0.999088584861737,0.999088584861737,0.99 <= |r| < 1.00
phase_jump_k_mean_abs,phase_jump_k_var_abs,0.9990869155361751,0.9990869155361751,0.99 <= |r| < 1.00
phase_unwrap_m_var,pdp_mean_delay,0.9990108544154637,0.9990108544154637,0.99 <= |r| < 1.00
phase_unwrap_m_var,svd_energy_ratio_mode1,-0.9989897338186132,0.9989897338186132,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_unwrap_k_slope_rms,0.9989710623379148,0.9989710623379148,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_jump_k_rms_abs,0.9989710623379144,0.9989710623379144,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_k_var,-0.9989472342210218,0.9989472342210218,0.99 <= |r| < 1.00
mag_rms,mag_percentile_75,0.9988398880344233,0.9988398880344233,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_k_var_abs,-0.9988105256213634,0.9988105256213634,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_k_slope_mean,0.9987997936767559,0.9987997936767559,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_jump_k_rms_abs,0.9987997866620382,0.9987997866620382,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_unwrap_k_slope_rms,0.998799786662038,0.998799786662038,0.99 <= |r| < 1.00
mag_percentile_75,mag_percentile_95,0.998785991134482,0.998785991134482,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,pdp_mean_delay,0.9987652212851149,0.9987652212851149,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,svd_energy_ratio_mode1,-0.9987338050657448,0.9987338050657448,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_m_var_abs,-0.9987286693213597,0.9987286693213597,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_k_mean,0.9987257950509737,0.9987257950509737,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_unwrap_k_slope_rms,0.9986492121165467,0.9986492121165467,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_jump_k_rms_abs,0.9986492121165462,0.9986492121165462,0.99 <= |r| < 1.00
phase_unwrap_k_slope_var,phase_jump_m_mean_abs,0.9985408340049441,0.9985408340049441,0.99 <= |r| < 1.00
