model,split,r2,mae,rmse,n,alpha,alpha_selection_split,selection_rmse,backend
RidgePoly2_torch,train,0.7708629973706032,5.031077475818595,7.1960388303548335,22566,429.7004704320844,val,7.4324311293205,torch_cuda
RidgePoly2_torch,val,0.7555793384528959,5.0512925667642445,7.4324311293204985,4836,429.7004704320844,val,7.4324311293205,torch_cuda
RidgePoly2_torch,test,0.7581796273601793,5.154576127765292,7.393762645148277,4836,429.7004704320844,val,7.4324311293205,torch_cuda
